Time,Date,Sender_account,Receiver_account,Amount_in_GBP,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,cross_border_score,amount_score,currency_score,payment_type_score,pattern_score,total_risk_score,risk_category,priority_review_flag
01:47.0,28-03-2022,4163119785,9963334018,2373.070068,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
32:38.0,11-02-2021,2801823908,4733616459,4793,Dirham,EUR,UAE,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
13:48.0,28-06-2022,5710360983,8934927891,18567.84961,GBP,Dirham,UK,UAE,Credit Card,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
59:24.0,03-05-2021,8995970241,3479708607,3314.370117,GBP,EUR,UK,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
05:54.0,28-12-2021,6927597015,8877444318,1455.280029,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
44:59.0,28-11-2023,4131575764,5996775663,4743.870117,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
20:53.0,28-03-2021,8752612686,7017956955,2394.01001,GBP,Dirham,UK,UAE,Wire Transfer,1,Cash_Deposits,20,5,15,5,5,50,Medium,0
31:25.0,26-09-2023,2137651678,7805745017,4437.939941,PAB,KYD,Panama,Cayman Islands,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
32:31.0,22-05-2021,4698408854,8217611860,3324.679932,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
29:33.0,26-01-2022,9639245200,4095476665,3773.899902,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
41:21.0,28-06-2021,2948728483,4919706735,1494.030029,KYD,SGD,Cayman Islands,Singapore,Wire Transfer,1,Fan-Out,20,5,15,5,12,57,Medium,0
48:10.0,18-04-2023,4944899549,7867414708,4873.620117,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
53:51.0,28-04-2022,5067116918,9957813353,4296.259766,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
49:08.0,19-07-2021,6004182187,7900268326,6096.140137,USD,SGD,USA,Singapore,ACH,1,Cash_Deposits,20,15,15,5,5,60,Medium,1
42:41.0,04-08-2022,7517938612,1519709079,1563.660034,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
14:37.0,28-12-2021,1983297492,4888749350,1570.300049,GBP,USD,UK,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
13:34.0,25-07-2021,7769777475,2748309234,8301.80957,GBP,Dirham,UK,UAE,Cheque,1,Cross-Border_Movement,20,15,15,8,20,78,High,1
55:46.0,26-03-2021,1422701550,4700855390,3003.97998,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
27:11.0,09-03-2022,5618742930,1420514789,2614.169922,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
05:59.0,28-01-2022,3067418686,9008612465,2023.160034,Dirham,PAB,UAE,Panama,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
59:50.0,28-12-2022,1664847319,2274350418,3369.780029,USD,EUR,USA,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
03:03.0,27-06-2023,3281169403,3181106786,1385.869995,GBP,USD,UK,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
25:07.0,28-06-2023,3660223333,7540301973,8011.470215,Dirham,EUR,UAE,Germany,ACH,1,Cash_Deposits,20,15,15,5,5,60,Medium,1
42:41.0,12-04-2022,5018948187,5334976883,9792.679688,GBP,Dirham,UK,UAE,Cash Deposit,1,Fan-In,20,15,15,10,10,70,High,1
32:16.0,25-07-2021,4783282817,4776436931,2715.48999,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
45:19.0,09-08-2023,3271782991,7676965974,4097.740234,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
47:35.0,28-08-2021,8377088167,7393195616,1638.630005,SGD,GBP,Singapore,UK,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
17:02.0,06-01-2021,9503167458,8325785916,2959.780029,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
